crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
cacao_ccn51,2019-03-16,2019-03-31,2019-03_Q2,134.03,-1.298,-1.308,-1.583,-0.085,140.34,0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6325,16.476,LOW
cacao_ccn51,2019-04-01,2019-04-15,2019-04_Q1,134.03,-0.653,-1.242,-1.601,-0.184,272.32,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4504,16.4368,LOW
cacao_ccn51,2019-04-16,2019-04-30,2019-04_Q2,134.03,-0.822,-1.298,-1.611,-0.757,391.62,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0701,16.4389,LOW
cacao_ccn51,2019-05-01,2019-05-15,2019-05_Q1,134.03,-0.604,-1.058,-1.512,-0.934,486.35,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5306,16.4537,LOW
cacao_ccn51,2019-05-16,2019-05-31,2019-05_Q2,134.03,0.287,-1.05,-1.439,-1.041,578.64,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0618,16.446,LOW
cacao_ccn51,2019-06-01,2019-06-15,2019-06_Q1,134.03,0.175,-0.592,-1.324,-1.434,507.79,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4431,LOW
cacao_ccn51,2019-06-16,2019-06-30,2019-06_Q2,134.03,-0.028,-0.053,-0.939,-1.453,424.52,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7041,LOW
cacao_ccn51,2019-07-01,2019-07-15,2019-07_Q1,134.03,-0.042,0.003,-0.904,-1.443,356.89,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9769,LOW
cacao_ccn51,2019-07-16,2019-07-31,2019-07_Q2,134.03,-0.187,0.271,-0.959,-1.509,331.12,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2874,LOW
cacao_ccn51,2019-08-01,2019-08-15,2019-08_Q1,134.03,-0.509,-0.056,-0.702,-1.426,289.66,134.03,1.0,0.0,0.0,0.0,0.0,0.0,3.2897,25.68,0.0,12.6627,LOW
cacao_ccn51,2019-08-16,2019-08-31,2019-08_Q2,134.03,-1.598,-0.816,-1.077,-1.505,200.21,134.03,1.0,0.0,0.0,0.0,0.0,0.0,8.1556,64.17,0.0,3.2447,LOW
cacao_ccn51,2019-09-01,2019-09-15,2019-09_Q1,134.03,-1.374,-1.097,-0.949,-1.492,164.0,134.03,1.0,0.0,0.0,0.0,0.0,0.0,8.1883,64.17,0.0,0.0,LOW
cacao_ccn51,2019-09-16,2019-09-30,2019-09_Q2,134.03,-0.075,-0.853,-0.492,-1.428,258.57,134.03,1.0,0.0,0.0,0.0,0.0,0.0,8.2188,64.17,0.0,0.0,LOW
cacao_ccn51,2019-10-01,2019-10-15,2019-10_Q1,134.03,0.467,-0.831,-0.514,-1.468,330.72,134.03,1.0,0.0,0.0,0.0,0.0,0.0,8.2561,64.17,0.0,0.0,LOW
cacao_ccn51,2019-10-16,2019-10-31,2019-10_Q2,134.03,-0.041,-0.787,-0.244,-1.463,295.74,134.03,1.0,0.0,0.0,0.0,0.0,0.0,8.2918,64.17,0.0,0.0,LOW
