et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
36.1,GF,2018-01_Q1,-19.689669877950884,147.22717515914223,2018-01-16,2018-01-01
35.300000000000004,GF,2018-01_Q2,-19.689669877950884,147.22717515914223,2018-02-01,2018-01-16
42.300000000000004,GF,2018-02_Q1,-19.689669877950884,147.22717515914223,2018-02-16,2018-02-01
44.6,GF,2018-02_Q2,-19.689669877950884,147.22717515914223,2018-03-01,2018-02-16
38.900000000000006,GF,2018-03_Q1,-19.689669877950884,147.22717515914223,2018-03-16,2018-03-01
44.2,GF,2018-03_Q2,-19.689669877950884,147.22717515914223,2018-04-01,2018-03-16
40.900000000000006,GF,2018-04_Q1,-19.689669877950884,147.22717515914223,2018-04-16,2018-04-01
17.5,GF,2018-04_Q2,-19.689669877950884,147.22717515914223,2018-05-01,2018-04-16
25.700000000000003,GF,2018-05_Q1,-19.689669877950884,147.22717515914223,2018-05-16,2018-05-01
20.5,GF,2018-05_Q2,-19.689669877950884,147.22717515914223,2018-06-01,2018-05-16
19.6,GF,2018-06_Q1,-19.689669877950884,147.22717515914223,2018-06-16,2018-06-01
21.700000000000003,GF,2018-06_Q2,-19.689669877950884,147.22717515914223,2018-07-01,2018-06-16
14.4,GF,2018-07_Q1,-19.689669877950884,147.22717515914223,2018-07-16,2018-07-01
13.8,GF,2018-07_Q2,-19.689669877950884,147.22717515914223,2018-08-01,2018-07-16
12.0,GF,2018-08_Q1,-19.689669877950884,147.22717515914223,2018-08-16,2018-08-01
14.600000000000001,GF,2018-08_Q2,-19.689669877950884,147.22717515914223,2018-09-01,2018-08-16
15.8,GF,2018-09_Q1,-19.689669877950884,147.22717515914223,2018-09-16,2018-09-01
21.0,GF,2018-09_Q2,-19.689669877950884,147.22717515914223,2018-10-01,2018-09-16
13.3,GF,2018-10_Q1,-19.689669877950884,147.22717515914223,2018-10-16,2018-10-01
30.3,GF,2018-10_Q2,-19.689669877950884,147.22717515914223,2018-11-01,2018-10-16
36.0,GF,2018-11_Q1,-19.689669877950884,147.22717515914223,2018-11-16,2018-11-01
25.800000000000004,GF,2018-11_Q2,-19.689669877950884,147.22717515914223,2018-12-01,2018-11-16
47.0,GF,2018-12_Q1,-19.689669877950884,147.22717515914223,2018-12-16,2018-12-01
48.400000000000006,GF,2018-12_Q2,-19.689669877950884,147.22717515914223,2019-01-01,2018-12-16
50.0,GF,2019-01_Q1,-19.689669877950884,147.22717515914223,2019-01-16,2019-01-01
43.300000000000004,GF,2019-01_Q2,-19.689669877950884,147.22717515914223,2019-02-01,2019-01-16
48.300000000000004,GF,2019-02_Q1,-19.689669877950884,147.22717515914223,2019-02-16,2019-02-01
52.900000000000006,GF,2019-02_Q2,-19.689669877950884,147.22717515914223,2019-03-01,2019-02-16
53.5,GF,2019-03_Q1,-19.689669877950884,147.22717515914223,2019-03-16,2019-03-01
50.5,GF,2019-03_Q2,-19.689669877950884,147.22717515914223,2019-04-01,2019-03-16
46.5,GF,2019-04_Q1,-19.689669877950884,147.22717515914223,2019-04-16,2019-04-01
19.6,GF,2019-04_Q2,-19.689669877950884,147.22717515914223,2019-05-01,2019-04-16
31.400000000000002,GF,2019-05_Q1,-19.689669877950884,147.22717515914223,2019-05-16,2019-05-01
25.200000000000003,GF,2019-05_Q2,-19.689669877950884,147.22717515914223,2019-06-01,2019-05-16
24.900000000000002,GF,2019-06_Q1,-19.689669877950884,147.22717515914223,2019-06-16,2019-06-01
21.6,GF,2019-06_Q2,-19.689669877950884,147.22717515914223,2019-07-01,2019-06-16
